CoC_Name,CoC_Number,Homeless_Individuals,Overall_Homeless,Sheltered_ES_Homeless,Sheltered_SH_Homeless,Sheltered_TH_Homeless,Sheltered_Total_Homeless,State,Unsheltered_Homeless
Minneapolis/Hennepin County CoC,MN-500,1511,3215,1733,0,1359,3092,MN,123
Minneapolis/Hennepin County CoC,MN-500,1465,3056,1657,0,1229,2886,MN,170
Minneapolis/Hennepin County CoC,MN-500,1623,3591,2449,0,978,3427,MN,164
Minneapolis/Hennepin County CoC,MN-500,1692,3013,1884,16,709,2609,MN,404
Saint Paul/Ramsey County CoC,MN-501,725,1500,712,0,720,1432,MN,68
Saint Paul/Ramsey County CoC,MN-501,738,1398,758,0,556,1314,MN,84
Saint Paul/Ramsey County CoC,MN-501,678,1417,609,10,727,1346,MN,71
Saint Paul/Ramsey County CoC,MN-501,905,1438,784,0,488,1272,MN,166
Saint Paul/Ramsey County CoC,MN-501,661,1218,516,10,581,1107,MN,111
Saint Paul/Ramsey County CoC,MN-501,802,1346,761,0,449,1210,MN,136
Saint Paul/Ramsey County CoC,MN-501,886,1424,847,0,448,1295,MN,129
Rochester/Southeast Minnesota CoC,MN-502,151,379,193,0,166,359,MN,20
Rochester/Southeast Minnesota CoC,MN-502,122,451,217,0,212,429,MN,22
Rochester/Southeast Minnesota CoC,MN-502,262,552,167,0,328,495,MN,57
Rochester/Southeast Minnesota CoC,MN-502,147,423,210,0,199,409,MN,14
Rochester/Southeast Minnesota CoC,MN-502,115,482,222,0,236,458,MN,24
Rochester/Southeast Minnesota CoC,MN-502,232,497,193,0,238,431,MN,66
Rochester/Southeast Minnesota CoC,MN-502,146,452,246,0,179,425,MN,27
"Dakota, Anoka, Washington, Scott, Carver Counties",MN-503,289,618,251,0,160,411,MN,207
"Dakota, Anoka, Washington, Scott, Carver Counties",MN-503,345,625,322,0,91,413,MN,212
"Dakota, Anoka, Washington, Scott, Carver Counties",MN-503,262,735,254,0,383,637,MN,98
"Dakota, Anoka, Washington, Scott, Carver Counties",MN-503,258,544,323,0,111,434,MN,110
"Dakota, Anoka, Washington, Scott, Carver Counties",MN-503,213,745,268,0,367,635,MN,110
"Dakota, Anoka, Washington, Scott, Carver Counties",MN-503,298,608,287,0,141,428,MN,180
"Dakota, Anoka, Washington, Scott, Carver Counties",MN-503,304,853,260,0,407,667,MN,186
Northeast Minnesota CoC,MN-504,63,99,21,0,37,58,MN,41
Northeast Minnesota CoC,MN-504,131,265,12,0,82,94,MN,171
Northeast Minnesota CoC,MN-504,57,90,24,0,23,47,MN,43
Northeast Minnesota CoC,MN-504,32,68,9,0,36,45,MN,23
Northeast Minnesota CoC,MN-504,90,200,9,0,57,66,MN,134
Northeast Minnesota CoC,MN-504,37,77,17,0,43,60,MN,17
Northeast Minnesota CoC,MN-504,61,178,25,0,55,80,MN,98
St. Cloud/Central Minnesota CoC,MN-505,316,547,171,0,236,407,MN,140
St. Cloud/Central Minnesota CoC,MN-505,340,607,235,0,265,500,MN,107
St. Cloud/Central Minnesota CoC,MN-505,452,862,260,0,373,633,MN,229
St. Cloud/Central Minnesota CoC,MN-505,449,657,178,0,282,460,MN,197
St. Cloud/Central Minnesota CoC,MN-505,349,669,276,0,226,502,MN,167
St. Cloud/Central Minnesota CoC,MN-505,380,696,297,0,194,491,MN,205
St. Cloud/Central Minnesota CoC,MN-505,278,584,226,0,253,479,MN,105
Northwest Minnesota CoC,MN-506,89,299,159,0,121,280,MN,19
Northwest Minnesota CoC,MN-506,103,288,86,0,199,285,MN,3
Northwest Minnesota CoC,MN-506,108,253,101,0,148,249,MN,4
Northwest Minnesota CoC,MN-506,109,274,91,0,175,266,MN,8
Northwest Minnesota CoC,MN-506,108,301,104,0,146,250,MN,51
Northwest Minnesota CoC,MN-506,114,254,112,0,127,239,MN,15
Northwest Minnesota CoC,MN-506,111,290,126,0,162,288,MN,2
Moorhead/West Central Minnesota CoC,MN-508,112,246,121,0,119,240,MN,6
Moorhead/West Central Minnesota CoC,MN-508,104,215,125,0,87,212,MN,3
Moorhead/West Central Minnesota CoC,MN-508,129,254,136,0,88,224,MN,30
Moorhead/West Central Minnesota CoC,MN-508,132,287,157,0,94,251,MN,36
Moorhead/West Central Minnesota CoC,MN-508,112,214,145,0,58,203,MN,11
Moorhead/West Central Minnesota CoC,MN-508,104,211,131,0,68,199,MN,12
Moorhead/West Central Minnesota CoC,MN-508,114,242,153,0,81,234,MN,8
Duluth/St.Louis County CoC,MN-509,284,568,152,0,234,386,MN,182
Duluth/St.Louis County CoC,MN-509,283,490,136,0,187,323,MN,167
Duluth/St.Louis County CoC,MN-509,205,410,112,0,188,300,MN,110
Duluth/St.Louis County CoC,MN-509,330,528,207,0,163,370,MN,158
Duluth/St.Louis County CoC,MN-509,240,429,116,0,189,305,MN,124
Duluth/St.Louis County CoC,MN-509,261,425,118,0,159,277,MN,148
Duluth/St.Louis County CoC,MN-509,314,505,137,0,175,312,MN,193
Southwest Minnesota CoC,MN-511,35,123,64,0,53,117,MN,6
Southwest Minnesota CoC,MN-511,43,108,60,0,40,100,MN,8
Southwest Minnesota CoC,MN-511,36,180,52,0,128,180,MN,0
Southwest Minnesota CoC,MN-511,21,65,29,0,36,65,MN,0
Southwest Minnesota CoC,MN-511,30,124,62,0,48,110,MN,14
Southwest Minnesota CoC,MN-511,43,137,26,0,86,112,MN,25
Southwest Minnesota CoC,MN-511,46,161,33,0,100,133,MN,28
St. Louis County CoC,MO-500,256,465,269,0,148,417,MO,48
St. Louis County CoC,MO-500,183,402,164,0,183,347,MO,55
St. Louis County CoC,MO-500,254,462,211,0,207,418,MO,44
St. Louis County CoC,MO-500,205,438,203,0,176,379,MO,59
St. Louis County CoC,MO-500,140,388,155,0,204,359,MO,29
St. Louis County CoC,MO-500,176,543,138,0,300,438,MO,105
St. Louis County CoC,MO-500,258,450,198,0,226,424,MO,26
St.Louis City CoC,MO-501,927,1506,711,19,651,1381,MO,125
St.Louis City CoC,MO-501,619,949,561,0,291,852,MO,97
St.Louis City CoC,MO-501,788,1248,567,0,583,1150,MO,98
St.Louis City CoC,MO-501,821,1336,650,0,544,1194,MO,142
St.Louis City CoC,MO-501,793,1423,612,18,697,1327,MO,96
St.Louis City CoC,MO-501,780,1354,641,19,598,1258,MO,96
St.Louis City CoC,MO-501,558,1312,554,24,622,1200,MO,112
"St. Charles City & County, Lincoln, Warren Counties CoC",MO-503,299,896,463,0,151,614,MO,282
"St. Charles City & County, Lincoln, Warren Counties CoC",MO-503,278,532,230,0,140,370,MO,162
"St. Charles City & County, Lincoln, Warren Counties CoC",MO-503,255,803,399,0,157,556,MO,247
"St. Charles City & County, Lincoln, Warren Counties CoC",MO-503,306,578,235,0,116,351,MO,227
"St. Charles City & County, Lincoln, Warren Counties CoC",MO-503,251,1023,285,0,259,544,MO,479
"St. Charles City & County, Lincoln, Warren Counties CoC",MO-503,387,940,392,0,184,576,MO,364
"St. Charles City & County, Lincoln, Warren Counties CoC",MO-503,288,610,228,0,152,380,MO,230
"Springfield/Greene, Christian, Webster Counties CoC",MO-600,314,479,240,0,42,282,MO,197
"Springfield/Greene, Christian, Webster Counties CoC",MO-600,335,455,218,0,37,255,MO,200
"Springfield/Greene, Christian, Webster Counties CoC",MO-600,349,711,169,0,360,529,MO,182
"Springfield/Greene, Christian, Webster Counties CoC",MO-600,408,662,160,0,334,494,MO,168
"Springfield/Greene, Christian, Webster Counties CoC",MO-600,454,656,249,0,323,572,MO,84
"Springfield/Greene, Christian, Webster Counties CoC",MO-600,339,584,313,0,96,409,MO,175
"Springfield/Greene, Christian, Webster Counties CoC",MO-600,301,496,201,0,83,284,MO,212
"Joplin/Jasper, Newton Counties CoC",MO-602,173,315,120,0,161,281,MO,34
"Joplin/Jasper, Newton Counties CoC",MO-602,353,574,261,0,278,539,MO,35
"Joplin/Jasper, Newton Counties CoC",MO-602,227,275,155,0,65,220,MO,55
"Joplin/Jasper, Newton Counties CoC",MO-602,442,1724,1411,0,255,1666,MO,58
"Joplin/Jasper, Newton Counties CoC",MO-602,215,297,128,0,110,238,MO,59
"Joplin/Jasper, Newton Counties CoC",MO-602,160,258,108,0,130,238,MO,20
"Joplin/Jasper, Newton Counties CoC",MO-602,195,270,165,0,64,229,MO,41
"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",MO-603,118,210,115,18,59,192,MO,18
"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",MO-603,123,186,114,17,46,177,MO,9
"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",MO-603,107,164,88,18,50,156,MO,8
"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",MO-603,115,200,113,18,63,194,MO,6
"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",MO-603,119,186,126,17,28,171,MO,15
"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",MO-603,108,195,105,17,63,185,MO,10
"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",MO-603,103,204,104,17,53,174,MO,30
"Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS",MO-604a,1453,2705,1033,9,834,1876,MO,829
"Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS",MO-604a,1066,1686,949,9,572,1530,MO,156
"Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS",MO-604a,1486,2691,801,8,957,1766,MO,925
"Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS",MO-604a,1170,1699,839,14,612,1465,MO,234
"Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS",MO-604a,1127,1671,896,7,539,1442,MO,229
"Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS",MO-604a,1200,1798,1026,13,435,1474,MO,324
"Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS",MO-604a,1614,2193,966,11,941,1918,MO,275
Missouri Balance of State CoC,MO-606,1223,2114,839,8,622,1469,MO,645
Missouri Balance of State CoC,MO-606,751,1244,720,8,224,952,MO,292
Missouri Balance of State CoC,MO-606,874,1477,819,8,321,1148,MO,329
Missouri Balance of State CoC,MO-606,832,1528,853,8,480,1341,MO,187
Missouri Balance of State CoC,MO-606,1202,2030,912,8,552,1472,MO,558
Missouri Balance of State CoC,MO-606,872,1345,777,8,198,983,MO,362
Missouri Balance of State CoC,MO-606,837,1431,758,7,291,1056,MO,375
Northern Mariana Islands CoC,MP-500,208,672,24,0,0,24,MP,648
Northern Mariana Islands CoC,MP-500,357,1044,22,0,0,22,MP,1022
"Jackson/Rankin, Madison Counties CoC",MS-500,362,446,114,0,195,309,MS,137
"Jackson/Rankin, Madison Counties CoC",MS-500,566,633,218,0,79,297,MS,336
"Jackson/Rankin, Madison Counties CoC",MS-500,450,511,85,0,146,231,MS,280
"Jackson/Rankin, Madison Counties CoC",MS-500,883,1037,85,0,295,380,MS,657
"Jackson/Rankin, Madison Counties CoC",MS-500,624,762,163,0,263,426,MS,336
"Jackson/Rankin, Madison Counties CoC",MS-500,689,846,232,0,279,511,MS,335
"Jackson/Rankin, Madison Counties CoC",MS-500,641,760,136,0,184,320,MS,440
Mississippi Balance of State CoC,MS-501,646,1018,328,0,251,579,MS,439
Mississippi Balance of State CoC,MS-501,684,954,343,0,357,700,MS,254
Mississippi Balance of State CoC,MS-501,484,785,257,0,222,479,MS,306
Mississippi Balance of State CoC,MS-501,404,560,223,0,74,297,MS,263
Mississippi Balance of State CoC,MS-501,465,697,299,0,152,451,MS,246
Mississippi Balance of State CoC,MS-501,707,1052,345,0,347,692,MS,360
Mississippi Balance of State CoC,MS-501,508,809,244,0,322,566,MS,243
Gulf Port/Gulf Coast Regional CoC,MS-503,258,346,67,0,58,125,MS,221
Gulf Port/Gulf Coast Regional CoC,MS-503,265,358,73,0,10,83,MS,275
Gulf Port/Gulf Coast Regional CoC,MS-503,341,426,157,0,37,194,MS,232
Gulf Port/Gulf Coast Regional CoC,MS-503,185,264,37,0,34,71,MS,193
Gulf Port/Gulf Coast Regional CoC,MS-503,343,412,116,0,33,149,MS,263
Gulf Port/Gulf Coast Regional CoC,MS-503,249,320,49,0,64,113,MS,207
Gulf Port/Gulf Coast Regional CoC,MS-503,405,591,20,0,51,71,MS,520
Montana Statewide CoC,MT-500,1166,1833,716,0,437,1153,MT,680
Montana Statewide CoC,MT-500,1211,1878,706,0,388,1094,MT,784
Montana Statewide CoC,MT-500,1167,1745,471,0,440,911,MT,834
Montana Statewide CoC,MT-500,844,1418,481,0,307,788,MT,630
Montana Statewide CoC,MT-500,1127,1709,535,0,302,837,MT,872
Montana Statewide CoC,MT-500,983,1405,793,0,239,1032,MT,373
Montana Statewide CoC,MT-500,987,1529,748,0,237,985,MT,544
Winston-Salem/Forsyth County CoC,NC-500,400,544,413,0,93,506,NC,38
Winston-Salem/Forsyth County CoC,NC-500,351,453,353,0,75,428,NC,25
Winston-Salem/Forsyth County CoC,NC-500,351,440,341,0,66,407,NC,33
Winston-Salem/Forsyth County CoC,NC-500,418,571,456,0,93,549,NC,22
Winston-Salem/Forsyth County CoC,NC-500,422,556,277,0,159,436,NC,120
Winston-Salem/Forsyth County CoC,NC-500,414,515,414,0,82,496,NC,19
Winston-Salem/Forsyth County CoC,NC-500,293,394,271,0,110,381,NC,13
Asheville/Buncombe County CoC,NC-501,510,562,273,0,215,488,NC,74
Asheville/Buncombe County CoC,NC-501,472,509,229,0,208,437,NC,72
Asheville/Buncombe County CoC,NC-501,478,570,247,0,266,513,NC,57
Asheville/Buncombe County CoC,NC-501,478,530,237,0,228,465,NC,65
Asheville/Buncombe County CoC,NC-501,505,562,235,0,222,457,NC,105
Asheville/Buncombe County CoC,NC-501,466,560,205,0,273,478,NC,82
Asheville/Buncombe County CoC,NC-501,515,554,281,0,216,497,NC,57
Durham City & County CoC,NC-502,237,354,216,0,106,322,NC,32
Durham City & County CoC,NC-502,572,753,284,0,416,700,NC,53
Durham City & County CoC,NC-502,572,698,298,0,337,635,NC,63
Durham City & County CoC,NC-502,254,354,240,0,54,294,NC,60
Durham City & County CoC,NC-502,656,813,434,0,335,769,NC,44
Durham City & County CoC,NC-502,246,338,240,0,45,285,NC,53
Durham City & County CoC,NC-502,635,811,337,0,421,758,NC,53
North Carolina Balance of State CoC,NC-503,1723,2922,1370,0,896,2266,NC,656
North Carolina Balance of State CoC,NC-503,2074,2991,1680,0,343,2023,NC,968
North Carolina Balance of State CoC,NC-503,1911,3054,1682,0,420,2102,NC,952
North Carolina Balance of State CoC,NC-503,1851,2963,1682,0,446,2128,NC,835
North Carolina Balance of State CoC,NC-503,2123,3625,1677,0,790,2467,NC,1158
North Carolina Balance of State CoC,NC-503,1922,3021,1827,0,534,2361,NC,660
North Carolina Balance of State CoC,NC-503,2027,3195,1813,0,695,2508,NC,687
"Greensboro, High Point CoC",NC-504,422,573,392,0,77,469,NC,104
"Greensboro, High Point CoC",NC-504,544,721,441,0,196,637,NC,84
"Greensboro, High Point CoC",NC-504,680,990,467,0,368,835,NC,155
"Greensboro, High Point CoC",NC-504,480,657,460,0,85,545,NC,112
"Greensboro, High Point CoC",NC-504,651,949,441,0,340,781,NC,168
"Greensboro, High Point CoC",NC-504,512,665,342,0,209,551,NC,114
"Greensboro, High Point CoC",NC-504,617,897,452,0,346,798,NC,99
Charlotte/Mecklenberg CoC,NC-505,1526,2567,971,0,1295,2266,NC,301
Charlotte/Mecklenberg CoC,NC-505,1016,1476,991,0,270,1261,NC,215
Charlotte/Mecklenberg CoC,NC-505,1243,2001,1183,0,638,1821,NC,180
Charlotte/Mecklenberg CoC,NC-505,1194,2014,1045,0,805,1850,NC,164
Charlotte/Mecklenberg CoC,NC-505,1133,1668,1151,0,308,1459,NC,209
Charlotte/Mecklenberg CoC,NC-505,1296,2418,952,0,1183,2135,NC,283
Charlotte/Mecklenberg CoC,NC-505,1168,1818,1149,0,482,1631,NC,187
"Wilmington/Brunswick, New Hanover, Pender Counties CoC",NC-506,260,348,200,0,45,245,NC,103
"Wilmington/Brunswick, New Hanover, Pender Counties CoC",NC-506,299,390,198,0,71,269,NC,121
"Wilmington/Brunswick, New Hanover, Pender Counties CoC",NC-506,290,389,173,0,88,261,NC,128
"Wilmington/Brunswick, New Hanover, Pender Counties CoC",NC-506,347,469,219,0,97,316,NC,153
"Wilmington/Brunswick, New Hanover, Pender Counties CoC",NC-506,262,321,163,0,71,234,NC,87
"Wilmington/Brunswick, New Hanover, Pender Counties CoC",NC-506,271,333,135,0,71,206,NC,127
"Wilmington/Brunswick, New Hanover, Pender Counties CoC",NC-506,256,322,138,0,97,235,NC,87
Raleigh/Wake County CoC,NC-507,819,1170,718,0,328,1046,NC,124
Raleigh/Wake County CoC,NC-507,843,1116,514,0,414,928,NC,188
Raleigh/Wake County CoC,NC-507,665,983,604,0,187,791,NC,192
Raleigh/Wake County CoC,NC-507,817,1098,739,0,263,1002,NC,96
Raleigh/Wake County CoC,NC-507,569,818,535,0,145,680,NC,138
Raleigh/Wake County CoC,NC-507,616,904,533,0,223,756,NC,148
Raleigh/Wake County CoC,NC-507,587,884,547,0,149,696,NC,188
"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",NC-509,311,423,183,0,49,232,NC,191
"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",NC-509,574,611,56,13,60,129,NC,482
"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",NC-509,215,281,200,0,44,244,NC,37
"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",NC-509,316,384,200,0,74,274,NC,110
"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",NC-509,238,328,193,0,50,243,NC,85
"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",NC-509,248,331,162,0,43,205,NC,126
"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",NC-509,164,249,127,0,44,171,NC,78
Fayetteville/Cumberland County CoC,NC-511,447,593,56,0,171,227,NC,366
Fayetteville/Cumberland County CoC,NC-511,279,442,54,0,135,189,NC,253
Fayetteville/Cumberland County CoC,NC-511,397,653,104,0,164,268,NC,385
Fayetteville/Cumberland County CoC,NC-511,341,515,80,0,144,224,NC,291
Fayetteville/Cumberland County CoC,NC-511,889,1606,105,0,201,306,NC,1300
Fayetteville/Cumberland County CoC,NC-511,343,631,99,0,188,287,NC,344
Fayetteville/Cumberland County CoC,NC-511,142,372,65,0,82,147,NC,225
Chapel Hill/Orange County CoC,NC-513,97,123,67,0,26,93,NC,30
Chapel Hill/Orange County CoC,NC-513,120,152,59,0,54,113,NC,39
Chapel Hill/Orange County CoC,NC-513,100,127,41,0,49,90,NC,37
Chapel Hill/Orange County CoC,NC-513,82,108,73,0,26,99,NC,9
Chapel Hill/Orange County CoC,NC-513,88,110,60,0,22,82,NC,28
Chapel Hill/Orange County CoC,NC-513,70,80,21,0,44,65,NC,15
Chapel Hill/Orange County CoC,NC-513,101,129,81,0,28,109,NC,20
Northwest North Carolina CoC,NC-516,284,875,104,0,31,135,NC,740
Northwest North Carolina CoC,NC-516,216,520,83,0,33,116,NC,404
Northwest North Carolina CoC,NC-516,206,449,111,0,29,140,NC,309
Northwest North Carolina CoC,NC-516,262,854,92,0,28,120,NC,734
Northwest North Carolina CoC,NC-516,350,1319,99,0,33,132,NC,1187
Northwest North Carolina CoC,NC-516,217,755,89,0,27,116,NC,639
Northwest North Carolina CoC,NC-516,199,466,93,0,26,119,NC,347
North Dakota Statewide CoC,ND-500,864,1305,640,0,179,819,ND,486
North Dakota Statewide CoC,ND-500,662,923,535,0,172,707,ND,216
North Dakota Statewide CoC,ND-500,1230,2069,540,0,134,674,ND,1395
North Dakota Statewide CoC,ND-500,485,688,474,0,161,635,ND,53
North Dakota Statewide CoC,ND-500,832,1089,584,0,174,758,ND,331
North Dakota Statewide CoC,ND-500,886,1258,639,0,155,794,ND,464
North Dakota Statewide CoC,ND-500,467,542,339,0,155,494,ND,48
Nebraska Balance of State CoC,NE-500,269,560,203,0,320,523,NE,37
Nebraska Balance of State CoC,NE-500,209,549,182,0,343,525,NE,24
Nebraska Balance of State CoC,NE-500,282,713,243,0,417,660,NE,53
Nebraska Balance of State CoC,NE-500,466,1278,208,0,385,593,NE,685
Nebraska Balance of State CoC,NE-500,284,551,185,0,354,539,NE,12
Nebraska Balance of State CoC,NE-500,327,559,377,0,147,524,NE,35
Nebraska Balance of State CoC,NE-500,276,506,300,0,192,492,NE,14
"Omaha, Council Bluffs CoC",NE-501,1038,1481,1047,0,390,1437,NE,44
"Omaha, Council Bluffs CoC",NE-501,1085,1530,1029,0,479,1508,NE,22
"Omaha, Council Bluffs CoC",NE-501,1113,1630,1041,0,563,1604,NE,26
"Omaha, Council Bluffs CoC",NE-501,1122,1411,1015,0,332,1347,NE,64
"Omaha, Council Bluffs CoC",NE-501,1110,1509,983,0,469,1452,NE,57
"Omaha, Council Bluffs CoC",NE-501,1037,1389,972,0,360,1332,NE,57
"Omaha, Council Bluffs CoC",NE-501,1011,1476,940,0,519,1459,NE,17
Lincoln CoC,NE-502,599,956,349,0,504,853,NE,103
Lincoln CoC,NE-502,511,836,340,0,450,790,NE,46
Lincoln CoC,NE-502,664,981,344,0,512,856,NE,125
Lincoln CoC,NE-502,296,451,344,0,62,406,NE,45
Lincoln CoC,NE-502,473,714,264,0,395,659,NE,55
Lincoln CoC,NE-502,385,606,336,0,221,557,NE,49
Lincoln CoC,NE-502,486,694,316,0,346,662,NE,32
New Hampshire Balance of State CoC,NH-500,443,670,431,0,163,594,NH,76
New Hampshire Balance of State CoC,NH-500,424,767,503,0,154,657,NH,110
New Hampshire Balance of State CoC,NH-500,467,742,520,0,100,620,NH,122
New Hampshire Balance of State CoC,NH-500,401,759,430,0,217,647,NH,112
New Hampshire Balance of State CoC,NH-500,390,718,489,0,153,642,NH,76
New Hampshire Balance of State CoC,NH-500,401,761,506,0,189,695,NH,66
New Hampshire Balance of State CoC,NH-500,361,689,459,0,168,627,NH,62
Manchester CoC,NH-501,249,407,146,4,198,348,NH,59
Manchester CoC,NH-501,192,394,154,4,184,342,NH,52
Manchester CoC,NH-501,226,399,158,4,177,339,NH,60
Manchester CoC,NH-501,228,382,152,4,148,304,NH,78
Manchester CoC,NH-501,202,400,122,4,220,346,NH,54
Manchester CoC,NH-501,208,400,141,3,208,352,NH,48
Manchester CoC,NH-501,204,427,194,3,204,401,NH,26
Nashua/Hillsborough County CoC,NH-502,180,327,140,5,174,319,NH,8
Nashua/Hillsborough County CoC,NH-502,164,281,98,5,172,275,NH,6
Nashua/Hillsborough County CoC,NH-502,205,336,105,1,189,295,NH,41
Nashua/Hillsborough County CoC,NH-502,185,280,105,3,160,268,NH,12
Nashua/Hillsborough County CoC,NH-502,169,306,103,5,186,294,NH,12
Nashua/Hillsborough County CoC,NH-502,160,295,107,5,171,283,NH,12
Nashua/Hillsborough County CoC,NH-502,182,296,100,4,179,283,NH,13
Atlantic City & County CoC,NJ-500,459,631,556,0,6,562,NJ,69
Atlantic City & County CoC,NJ-500,401,437,240,0,66,306,NJ,131
Atlantic City & County CoC,NJ-500,382,422,275,0,38,313,NJ,109
Atlantic City & County CoC,NJ-500,440,476,323,0,37,360,NJ,116
Atlantic City & County CoC,NJ-500,439,548,440,0,34,474,NJ,74
Atlantic City & County CoC,NJ-500,494,544,469,0,7,476,NJ,68
Atlantic City & County CoC,NJ-500,488,746,674,0,12,686,NJ,60
Bergen County CoC,NJ-501,185,296,148,0,137,285,NJ,11
Bergen County CoC,NJ-501,209,346,198,0,130,328,NJ,18
Bergen County CoC,NJ-501,223,354,143,0,188,331,NJ,23
Bergen County CoC,NJ-501,224,340,172,0,135,307,NJ,33
Bergen County CoC,NJ-501,218,371,162,0,176,338,NJ,33
Bergen County CoC,NJ-501,284,454,228,0,194,422,NJ,32
Bergen County CoC,NJ-501,182,302,118,0,179,297,NJ,5
Burlington County CoC,NJ-502,300,671,600,0,29,629,NJ,42
Burlington County CoC,NJ-502,520,1020,984,0,15,999,NJ,21
Burlington County CoC,NJ-502,659,1347,1260,0,79,1339,NJ,8
Burlington County CoC,NJ-502,471,926,845,0,68,913,NJ,13
Burlington County CoC,NJ-502,330,604,508,0,52,560,NJ,44
Burlington County CoC,NJ-502,457,840,683,0,101,784,NJ,56
Burlington County CoC,NJ-502,407,823,773,0,21,794,NJ,29
"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",NJ-503,714,1291,850,0,248,1098,NJ,193
"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",NJ-503,672,1215,936,0,115,1051,NJ,164
"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",NJ-503,733,1068,631,0,198,829,NJ,239
"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",NJ-503,629,938,621,0,190,811,NJ,127
"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",NJ-503,762,1089,684,0,270,954,NJ,135
"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",NJ-503,972,1695,1306,31,256,1593,NJ,102
"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",NJ-503,705,999,631,0,223,854,NJ,145
Newark/Essex County CoC,NJ-504,1082,1610,924,0,524,1448,NJ,162
Newark/Essex County CoC,NJ-504,888,1646,1073,0,409,1482,NJ,164
Newark/Essex County CoC,NJ-504,941,1504,924,0,411,1335,NJ,169
Newark/Essex County CoC,NJ-504,1253,2048,1135,0,485,1620,NJ,428
Newark/Essex County CoC,NJ-504,1171,1779,877,0,459,1336,NJ,443
Newark/Essex County CoC,NJ-504,923,1483,879,6,375,1260,NJ,223
Newark/Essex County CoC,NJ-504,1367,2228,1337,0,495,1832,NJ,396
"Jersey City, Bayonne/Hudson County CoC",NJ-506,584,829,485,0,118,603,NJ,226
"Jersey City, Bayonne/Hudson County CoC",NJ-506,668,822,608,0,30,638,NJ,184
"Jersey City, Bayonne/Hudson County CoC",NJ-506,624,942,455,0,202,657,NJ,285
"Jersey City, Bayonne/Hudson County CoC",NJ-506,750,2087,1578,0,215,1793,NJ,294
"Jersey City, Bayonne/Hudson County CoC",NJ-506,672,860,588,0,29,617,NJ,243
"Jersey City, Bayonne/Hudson County CoC",NJ-506,535,821,488,0,167,655,NJ,166
"Jersey City, Bayonne/Hudson County CoC",NJ-506,632,917,554,0,194,748,NJ,169
New Brunswick/Middlesex County CoC,NJ-507,394,802,532,0,168,700,NJ,102
New Brunswick/Middlesex County CoC,NJ-507,229,457,295,0,78,373,NJ,84
New Brunswick/Middlesex County CoC,NJ-507,355,597,441,0,25,466,NJ,131
New Brunswick/Middlesex County CoC,NJ-507,318,546,383,0,38,421,NJ,125
New Brunswick/Middlesex County CoC,NJ-507,525,1145,604,0,229,833,NJ,312
New Brunswick/Middlesex County CoC,NJ-507,343,604,403,0,125,528,NJ,76
New Brunswick/Middlesex County CoC,NJ-507,456,1031,559,0,229,788,NJ,243
Monmouth County CoC,NJ-508,364,918,688,0,194,882,NJ,36
Monmouth County CoC,NJ-508,144,299,124,0,131,255,NJ,44
Monmouth County CoC,NJ-508,210,456,280,0,140,420,NJ,36
Monmouth County CoC,NJ-508,272,650,330,0,265,595,NJ,55
Monmouth County CoC,NJ-508,187,335,129,0,134,263,NJ,72
Monmouth County CoC,NJ-508,209,588,392,0,184,576,NJ,12
Monmouth County CoC,NJ-508,187,344,170,0,129,299,NJ,45
Morris County CoC,NJ-509,179,281,113,19,77,209,NJ,72
Morris County CoC,NJ-509,223,378,206,22,123,351,NJ,27
Morris County CoC,NJ-509,201,346,178,19,102,299,NJ,47
Morris County CoC,NJ-509,245,410,223,20,133,376,NJ,34
Morris County CoC,NJ-509,263,389,203,18,138,359,NJ,30
Morris County CoC,NJ-509,232,384,195,19,136,350,NJ,34
